Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
290,Exit long,2024-07-08 15:50,ny-eod-flat,22101.75,126,55648530,47867.4,0.09,60473.7,0.11,-95136.3,-0.17,2467041.5,24.67
290,Entry long,2024-07-08 11:35,NL,22082.75,126,55648530,47867.4,0.09,60473.7,0.11,-95136.3,-0.17,2467041.5,24.67
291,Exit short,2024-07-08 21:45,a-s-tp1,22155.25,198,87807060,72250.2,0.08,72260.1,0.08,-5949.9,-0.01,2539282,25.39
291,Entry short,2024-07-08 20:40,AS,22173.5,198,87807060,72250.2,0.08,72260.1,0.08,-5949.9,-0.01,2539282,25.39
292,Exit short,2024-07-09 00:40,a-s-be,22172.5,198,87807060,3940.2,0.00,132650.1,0.15,-5949.9,-0.01,2543232,25.43
292,Entry short,2024-07-08 20:40,AS,22173.5,198,87807060,3940.2,0.00,132650.1,0.15,-5949.9,-0.01,2543232,25.43
293,Exit short,2024-07-09 12:40,n-s-tp1,22099.5,66,29246910,75563.4,0.26,75566.7,0.26,-28053.3,-0.10,2618792,26.19
293,Entry short,2024-07-09 10:35,NS,22156.75,66,29246910,75563.4,0.26,75566.7,0.26,-28053.3,-0.10,2618792,26.19
294,Exit short,2024-07-09 13:25,n-s-tp2,22052.25,66,29246910,137933.4,0.47,137936.7,0.47,-28053.3,-0.10,2756728.8,27.57
294,Entry short,2024-07-09 10:35,NS,22156.75,66,29246910,137933.4,0.47,137936.7,0.47,-28053.3,-0.10,2756728.8,27.57
295,Exit long,2024-07-10 10:35,n-l-sl,22181.25,67,29760395,-37526.7,-0.13,2341.65,0.01,-37523.35,-0.13,2719198.8,27.19
295,Entry long,2024-07-10 10:15,NL,22209.25,67,29760395,-37526.7,-0.13,2341.65,0.01,-37523.35,-0.13,2719198.8,27.19
296,Exit long,2024-07-10 10:35,n-l-sl,22181.25,68,30204580,-38086.8,-0.13,2376.6,0.01,-38083.4,-0.13,2681115.2,26.81
296,Entry long,2024-07-10 10:15,NL,22209.25,68,30204580,-38086.8,-0.13,2376.6,0.01,-38083.4,-0.13,2681115.2,26.81
297,Exit short,2024-07-10 21:10,a-s-tp1,22292.5,204,91020720,67299.6,0.07,67309.8,0.07,-5110.2,-0.01,2748404.8,27.48
297,Entry short,2024-07-10 20:35,AS,22309,204,91020720,67299.6,0.07,67309.8,0.07,-5110.2,-0.01,2748404.8,27.48
298,Exit short,2024-07-10 21:40,a-s-be,22308,205,91466900,4079.5,0.00,80964.75,0.09,-5135.25,-0.01,2752494.5,27.52
298,Entry short,2024-07-10 20:35,AS,22309,205,91466900,4079.5,0.00,80964.75,0.09,-5135.25,-0.01,2752494.5,27.52
299,Exit long,2024-07-15 00:55,a-l-tp1,22025,178,78345810,63172.2,0.08,63181.1,0.08,-15138.9,-0.02,2815657.8,28.16
299,Entry long,2024-07-14 22:40,AL,22007.25,178,78345810,63172.2,0.08,63181.1,0.08,-15138.9,-0.02,2815657.8,28.16
300,Exit long,2024-07-15 01:40,a-l-tp2,22042.5,179,78785955,126177.1,0.16,126186.05,0.16,-15223.95,-0.02,2941843.8,29.42
300,Entry long,2024-07-14 22:40,AL,22007.25,179,78785955,126177.1,0.16,126186.05,0.16,-15223.95,-0.02,2941843.8,29.42
301,Exit long,2024-07-15 12:05,n-l-sl,22088.75,59,26114580,-49860.9,-0.19,12387.05,0.05,-49857.95,-0.19,2891979.8,28.92
301,Entry long,2024-07-15 11:40,NL,22131,59,26114580,-49860.9,-0.19,12387.05,0.05,-49857.95,-0.19,2891979.8,28.92
302,Exit long,2024-07-15 12:05,n-l-sl,22088.75,60,26557200,-50706,-0.19,12597,0.05,-50703,-0.19,2841276.8,28.41
302,Entry long,2024-07-15 11:40,NL,22131,60,26557200,-50706,-0.19,12597,0.05,-50703,-0.19,2841276.8,28.41
303,Exit short,2024-07-15 22:00,a-s-sl,22075.5,178,78549620,-39177.8,-0.05,30251.1,0.04,-39168.9,-0.05,2802090,28.02
303,Entry short,2024-07-15 20:45,AS,22064.5,178,78549620,-39177.8,-0.05,30251.1,0.04,-39168.9,-0.05,2802090,28.02
304,Exit short,2024-07-15 22:00,a-s-sl,22075.5,178,78549620,-39177.8,-0.05,30251.1,0.04,-39168.9,-0.05,2762921.2,27.63
304,Entry short,2024-07-15 20:45,AS,22064.5,178,78549620,-39177.8,-0.05,30251.1,0.04,-39168.9,-0.05,2762921.2,27.63
305,Exit short,2024-07-16 11:30,n-s-tp1,21978.25,59,25996580,62239.1,0.24,62242.05,0.24,-16227.95,-0.06,2825157.2,28.25
305,Entry short,2024-07-16 11:05,NS,22031,59,25996580,62239.1,0.24,62242.05,0.24,-16227.95,-0.06,2825157.2,28.25
306,Exit short,2024-07-16 12:15,n-s-tp2,21925.5,59,25996580,124484.1,0.48,124487.05,0.48,-16227.95,-0.06,2949644.5,29.50
306,Entry short,2024-07-16 11:05,NS,22031,59,25996580,124484.1,0.48,124487.05,0.48,-16227.95,-0.06,2949644.5,29.50
307,Exit short,2024-07-17 10:50,n-s-tp1,21560,60,25934400,62394,0.24,62997,0.24,-4203,-0.02,3012035.5,30.12
307,Entry short,2024-07-17 10:45,NS,21612,60,25934400,62394,0.24,62997,0.24,-4203,-0.02,3012035.5,30.12
308,Exit short,2024-07-17 11:45,n-s-tp2,21508.25,60,25934400,124494,0.48,124497,0.48,-4203,-0.02,3136532.5,31.37
308,Entry short,2024-07-17 10:45,NS,21612,60,25934400,124494,0.48,124497,0.48,-4203,-0.02,3136532.5,31.37
309,Exit short,2024-07-18 11:10,n-s-tp1,21357.25,55,23555400,62419.5,0.26,62422.25,0.27,-48952.75,-0.21,3198949.2,31.99
309,Entry short,2024-07-18 10:50,NS,21414,55,23555400,62419.5,0.26,62422.25,0.27,-48952.75,-0.21,3198949.2,31.99
310,Exit short,2024-07-18 11:10,n-s-tp2,21300.75,55,23555400,124569.5,0.53,124572.25,0.53,-48952.75,-0.21,3323521.5,33.24
310,Entry short,2024-07-18 10:50,NS,21414,55,23555400,124569.5,0.53,124572.25,0.53,-48952.75,-0.21,3323521.5,33.24
311,Exit short,2024-07-19 11:25,n-s-tp1,21207.75,53,22541695,61474.7,0.27,61477.35,0.27,-48232.65,-0.21,3384993.5,33.85
311,Entry short,2024-07-19 10:45,NS,21265.75,53,22541695,61474.7,0.27,61477.35,0.27,-48232.65,-0.21,3384993.5,33.85
312,Exit short,2024-07-19 11:35,n-s-tp2,21149.75,54,22967010,125274.6,0.55,125277.3,0.55,-49142.7,-0.21,3510270.8,35.10
312,Entry short,2024-07-19 10:45,NS,21265.75,54,22967010,125274.6,0.55,125277.3,0.55,-49142.7,-0.21,3510270.8,35.10
313,Exit short,2024-07-21 21:05,a-s-tp1,21219,161,68387970,62773.9,0.09,62781.95,0.09,-34623.05,-0.05,3573036.5,35.73
313,Entry short,2024-07-21 20:55,AS,21238.5,161,68387970,62773.9,0.09,62781.95,0.09,-34623.05,-0.05,3573036.5,35.73
314,Exit short,2024-07-21 21:15,a-s-tp2,21199.5,161,68387970,125563.9,0.18,125571.95,0.18,-34623.05,-0.05,3698608.5,36.99
314,Entry short,2024-07-21 20:55,AS,21238.5,161,68387970,125563.9,0.18,125571.95,0.18,-34623.05,-0.05,3698608.5,36.99
315,Exit long,2024-07-22 10:00,n-l-sl,21368,53,22690890,-40815.3,-0.18,10862.35,0.05,-47702.65,-0.21,3657790.5,36.58
315,Entry long,2024-07-22 09:55,NL,21406.5,53,22690890,-40815.3,-0.18,10862.35,0.05,-47702.65,-0.21,3657790.5,36.58
