Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
162,Exit long,2024-04-25 10:40,n-l-sl,19055.75,27,10315350,-25247.7,-0.24,0,0.00,-25246.35,-0.24,1267983.5,25.36
162,Entry long,2024-04-25 10:30,NL,19102.5,27,10315350,-25247.7,-0.24,0,0.00,-25246.35,-0.24,1267983.5,25.36
163,Exit long,2024-04-25 23:20,a-l-tp1,19480.5,76,29579200,31152.4,0.11,31156.2,0.11,-18623.8,-0.06,1299132,25.98
163,Entry long,2024-04-25 22:40,AL,19460,76,29579200,31152.4,0.11,31156.2,0.11,-18623.8,-0.06,1299132,25.98
164,Exit long,2024-04-25 23:40,a-l-be,19461,77,29968400,1532.3,0.01,35801.15,0.12,-18868.85,-0.06,1300668.2,26.01
164,Entry long,2024-04-25 22:40,AL,19460,77,29968400,1532.3,0.01,35801.15,0.12,-18868.85,-0.06,1300668.2,26.01
165,Exit long,2024-04-26 10:40,n-l-tp1,19538.75,25,9738750,30622.5,0.31,30623.75,0.31,-6001.25,-0.06,1331289.4,26.63
165,Entry long,2024-04-26 10:05,NL,19477.5,25,9738750,30622.5,0.31,30623.75,0.31,-6001.25,-0.06,1331289.4,26.63
166,Exit long,2024-04-26 15:50,ny-eod-flat,19554.25,26,10128300,39907.4,0.39,62788.7,0.62,-6241.3,-0.06,1371198.1,27.42
166,Entry long,2024-04-26 10:05,NL,19477.5,26,10128300,39907.4,0.39,62788.7,0.62,-6241.3,-0.06,1371198.1,27.42
167,Exit short,2024-04-28 21:45,a-s-sl,19593,78,30540120,-24967.8,-0.08,4286.1,0.01,-24963.9,-0.08,1346226.4,26.92
167,Entry short,2024-04-28 20:30,AS,19577,78,30540120,-24967.8,-0.08,4286.1,0.01,-24963.9,-0.08,1346226.4,26.92
168,Exit short,2024-04-28 21:45,a-s-sl,19593,78,30540120,-24967.8,-0.08,4286.1,0.01,-24963.9,-0.08,1321262.5,26.43
168,Entry short,2024-04-28 20:30,AS,19577,78,30540120,-24967.8,-0.08,4286.1,0.01,-24963.9,-0.08,1321262.5,26.43
169,Exit long,2024-05-01 02:00,a-l-sl,19200.75,78,29975010,-21847.8,-0.07,17546.1,0.06,-21843.9,-0.07,1299410.8,25.99
